model,parameters,train_seconds,val_accuracy,val_precision,val_recall_sensitivity,val_f1,val_specificity,val_false_positive_rate,val_false_negative_rate,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,val_n,val_eval_threshold,val_eval_seconds,val_examples_per_second,val_calibrated_accuracy,val_best_threshold,val_calibrated_f1,val_calibrated_false_positive_rate,evaluation,dataset,interpretation,accuracy,precision,recall_sensitivity,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,pr_auc,tn,fp,fn,tp,n,eval_threshold,eval_seconds,examples_per_second
E_full_proposed,56401,17.6950204372406,0.7064846416382252,0.8125,0.1354166666666666,0.2321428571428571,0.9847715736040608,0.015228426395939,0.8645833333333334,0.7528553299492385,0.590201207475195,194.0,3.0,83.0,13.0,293.0,0.5,0.4844174385070801,604.850231864057,0.7542662116040956,0.35,0.5813953488372093,0.1319796954314721,within_domain_validation,,,,,,,,,,,,,,,,,,,
tiny_mlp,278657,9.61193060874939,0.6860068259385665,0.5666666666666667,0.1770833333333333,0.2698412698412698,0.934010152284264,0.065989847715736,0.8229166666666666,0.7404822335025381,0.5632485314139721,184.0,13.0,79.0,17.0,293.0,0.5,0.5144164562225342,569.577424003033,0.7610921501706485,0.35,0.5679012345679012,0.1015228426395939,within_domain_validation,,,,,,,,,,,,,,,,,,,
tiny_gru,20737,11.884669303894045,0.6655290102389079,0.0,0.0,0.0,0.9898477157360406,0.0101522842639593,1.0,0.7377326565143825,0.5227022631197269,195.0,2.0,96.0,0.0,293.0,0.5,0.4775207042694092,613.5859605255865,0.7542662116040956,0.35,0.5263157894736842,0.0812182741116751,within_domain_validation,,,,,,,,,,,,,,,,,,,
A_position_only,56401,20.27459597587585,0.6518771331058021,0.4797297297297297,0.7395833333333334,0.5819672131147541,0.6091370558375635,0.3908629441624365,0.2604166666666667,0.7454790609137055,0.6390293027147049,120.0,77.0,25.0,71.0,293.0,0.5,0.4912333488464355,596.4578762578979,0.7679180887372014,0.625,0.5903614457831325,0.1065989847715736,within_domain_validation,,,,,,,,,,,,,,,,,,,
B_position_velocity,56401,13.903001070022585,0.621160409556314,0.4571428571428571,0.8333333333333334,0.5904059040590406,0.5177664974619289,0.482233502538071,0.1666666666666666,0.7418570219966161,0.609359700898233,102.0,95.0,16.0,80.0,293.0,0.5,0.4741644859313965,617.9290282030782,0.7747440273037542,0.55,0.6071428571428571,0.1065989847715736,within_domain_validation,,,,,,,,,,,,,,,,,,,
D_position_velocity_acceleration_confidence,56401,12.448603630065918,0.6860068259385665,0.5166666666666667,0.6458333333333334,0.5740740740740741,0.7055837563451777,0.2944162436548223,0.3541666666666667,0.7501850676818952,0.6242163424765013,139.0,58.0,34.0,62.0,293.0,0.5,0.4724924564361572,620.1157203862998,0.7610921501706485,0.575,0.5512820512820513,0.0862944162436548,within_domain_validation,,,,,,,,,,,,,,,,,,,
without_STGCN,34897,21.19492530822754,0.7679180887372014,0.7,0.5104166666666666,0.5903614457831325,0.8934010152284264,0.1065989847715736,0.4895833333333333,0.7575348984771573,0.6398315833980355,176.0,21.0,47.0,49.0,293.0,0.5,0.6382579803466797,459.0620235423496,0.7679180887372014,0.5,0.5903614457831325,0.1065989847715736,within_domain_validation,,,,,,,,,,,,,,,,,,,
without_temporal_attention,46897,11.73907709121704,0.6962457337883959,0.8181818181818182,0.09375,0.1682242990654205,0.9898477157360406,0.0101522842639593,0.90625,0.7353796531302876,0.5996064085933438,195.0,2.0,87.0,9.0,293.0,0.5,0.4503335952758789,650.6287851353956,0.764505119453925,0.275,0.5605095541401274,0.0862944162436548,within_domain_validation,,,,,,,,,,,,,,,,,,,
,56401,,,,,,,,,,,,,,,,,,,,,,,cross_view_test,MCFD,view_shift_not_subject_independent,0.5483234714003945,0.3518518518518518,0.4606060606060606,0.3989501312335958,0.5906432748538012,0.4093567251461988,0.5393939393939394,0.5271110225057594,0.3527835537797726,404.0,280.0,178.0,152.0,1014.0,0.55,2.2185206413269043,457.06133227298864
,56401,,,,,,,,,,,,,,,,,,,,,,,held_out_subject_test,GMDCSA24,subject_disjoint_within_dataset,0.7526881720430108,0.6410256410256411,0.7352941176470589,0.684931506849315,0.7627118644067796,0.2372881355932203,0.2647058823529412,0.7953639082751744,0.6180411875037757,45.0,14.0,9.0,25.0,93.0,0.55,0.327603816986084,283.87947630033403
,56401,,,,,,,,,,,,,,,,,,,,,,,external_cross_dataset,CAUCAFall,unseen_dataset_environment,0.8076923076923077,0.5428571428571428,0.6785714285714286,0.6031746031746031,0.8431372549019608,0.1568627450980392,0.3214285714285714,0.8751750700280112,0.6414553985705571,86.0,16.0,9.0,19.0,130.0,0.55,0.5289652347564697,245.7628431098136
