model,parameters,train_seconds,val_accuracy,val_precision,val_recall_sensitivity,val_f1,val_specificity,val_false_positive_rate,val_false_negative_rate,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,val_n,val_eval_threshold,val_eval_seconds,val_examples_per_second,val_calibrated_accuracy,val_best_threshold,val_calibrated_f1,val_calibrated_false_positive_rate
A_position_only,56401,20.274595975875854,0.6518771331058021,0.4797297297297297,0.7395833333333334,0.5819672131147541,0.6091370558375635,0.39086294416243655,0.2604166666666667,0.7454790609137055,0.6390293027147049,120,77,25,71,293,0.5,0.49123334884643555,596.4578762578979,0.7679180887372014,0.625,0.5903614457831325,0.1065989847715736
B_position_velocity,56401,13.903001070022583,0.621160409556314,0.45714285714285713,0.8333333333333334,0.5904059040590406,0.5177664974619289,0.48223350253807107,0.16666666666666666,0.7418570219966161,0.609359700898233,102,95,16,80,293,0.5,0.4741644859313965,617.9290282030782,0.7747440273037542,0.55,0.6071428571428571,0.1065989847715736
D_position_velocity_acceleration_confidence,56401,12.448603630065918,0.6860068259385665,0.5166666666666667,0.6458333333333334,0.5740740740740741,0.7055837563451777,0.29441624365482233,0.3541666666666667,0.7501850676818952,0.6242163424765013,139,58,34,62,293,0.5,0.4724924564361572,620.1157203862998,0.7610921501706485,0.575,0.5512820512820513,0.08629441624365482
without_STGCN,34897,21.19492530822754,0.7679180887372014,0.7,0.5104166666666666,0.5903614457831325,0.8934010152284264,0.1065989847715736,0.4895833333333333,0.7575348984771573,0.6398315833980355,176,21,47,49,293,0.5,0.6382579803466797,459.0620235423496,0.7679180887372014,0.5,0.5903614457831325,0.1065989847715736
without_temporal_attention,46897,11.739077091217041,0.6962457337883959,0.8181818181818182,0.09375,0.16822429906542055,0.9898477157360406,0.01015228426395939,0.90625,0.7353796531302876,0.5996064085933438,195,2,87,9,293,0.5,0.4503335952758789,650.6287851353956,0.764505119453925,0.275,0.5605095541401274,0.08629441624365482
