dataset,evaluation,interpretation,parameters,accuracy,precision,recall_sensitivity,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,pr_auc,tn,fp,fn,tp,n,eval_threshold,eval_seconds,examples_per_second
MCFD,cross_view_test,view_shift_not_subject_independent,56401,0.5483234714003945,0.3518518518518518,0.4606060606060606,0.3989501312335958,0.5906432748538012,0.4093567251461988,0.5393939393939394,0.5271110225057594,0.3527835537797726,404,280,178,152,1014,0.55,2.2185206413269043,457.06133227298864
GMDCSA24,held_out_subject_test,subject_disjoint_within_dataset,56401,0.7526881720430108,0.6410256410256411,0.7352941176470589,0.684931506849315,0.7627118644067796,0.2372881355932203,0.2647058823529412,0.7953639082751744,0.6180411875037757,45,14,9,25,93,0.55,0.327603816986084,283.87947630033403
CAUCAFall,external_cross_dataset,unseen_dataset_environment,56401,0.8076923076923077,0.5428571428571428,0.6785714285714286,0.6031746031746031,0.8431372549019608,0.1568627450980392,0.32142857142857145,0.8751750700280112,0.6414553985705571,86,16,9,19,130,0.55,0.5289652347564697,245.76284310981362
